[Wed Feb 22:39:36 2016][300][cliente 127.0.0.1][El mensaje no pudo ser cifrado correctamente]
[Wed Feb 22:39:51 2016][100][cliente 127.0.0.1][El mensaje se pudo cifrar o descifrar correctamente.]
[Wed Feb 22:41:28 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:41:36 2016][300][cliente 127.0.0.1] El mensaje no pudo ser cifrado correctamente.
[Wed Feb 22:42:29 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:42:40 2016][300][cliente 127.0.0.1] El mensaje no pudo ser cifrado correctamente.
[Wed Feb 22:44:08 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:44:13 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:48:32 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:48:35 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:56:52 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:56:55 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:57:47 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:57:49 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:58:07 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Wed Feb 22:58:09 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 08:59:40 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:00:35 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:02:05 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:04:11 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:04:29 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:06:24 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:10:07 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:10:14 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:15:06 2016][400][cliente 127.0.0.1] El mensaje no fue cifrado por este servidor.
[Thu Feb 09:15:21 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:19:01 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:20:03 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:20:35 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:21:58 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:22:54 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:44:55 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:45:11 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:45:21 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:45:31 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:45:47 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:45:54 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:46:01 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
[Thu Feb 09:46:04 2016][100][cliente 127.0.0.1] El mensaje se pudo cifrar o descifrar correctamente.
